,company,time,username,,sentiment,date
0,TCS,12:06,PhilDeCarolis,,0,4/15/2018
0,TCS,12:07,IrshadAhamedN,,0,4/15/2018
0,TCS,12:17,MaheshCMahtolia,,0,4/15/2018
0,TCS,12:21,luxoft,,0,4/15/2018
0,TCS,12:38,market_analyst,,0,4/15/2018
0,TCS,12:47,HexaTata,,-0.296,4/15/2018
0,TCS,12:47,Sunilktcs,,0,4/15/2018
0,TCS,12:47,HexaTata,,0,4/15/2018
0,TCS,12:48,satishkolkunda,,0,4/15/2018
0,TCS,1:15,RandomizerTest,,0.4767,4/15/2018
0,TCS,1:27,AnilLingutla,,0,4/15/2018
0,TCS,2:06,BanerjiSougata,,0,4/15/2018
0,TCS,2:16,IcahnStadiumNYC,,0.5562,4/15/2018
0,TCS,2:17,itknowingness,,0,4/15/2018
0,TCS,2:17,BobYelland,,0,4/15/2018
0,TCS,2:17,alevergara78,,0,4/15/2018
0,TCS,2:25,Venky_Sur,,0,4/15/2018
0,TCS,2:26,mandeep_doon,,0,4/15/2018
0,TCS,3:19,IrshadAhamedN,,0,4/15/2018
0,TCS,3:21,BanerjiSougata,,0,4/15/2018
0,TCS,3:25,HexaTata,,0,4/15/2018
0,TCS,3:46,YUGESHBABU14,,0,4/15/2018
0,TCS,3:48,STOCKSTIPS,,0,4/15/2018
0,TCS,3:55,sharebossindia,,0,4/15/2018
0,TCS,3:57,DennisA_James,,0,4/15/2018
0,TCS,4:01,adil14384,,0,4/15/2018
0,TCS,4:19,Muzaffar69,,0,4/15/2018
0,TCS,4:19,sanjayduddupudi,,0,4/15/2018
0,TCS,4:20,stockmarketpuls,,0,4/15/2018
0,TCS,4:27,swetha1106,,0,4/15/2018
0,TCS,4:29,ROMEET_,,0,4/15/2018
0,TCS,4:36,gunjanmkh,,0.8481,4/15/2018
0,TCS,4:40,avianmedia_,,0.8481,4/15/2018
0,TCS,4:53,sindhuguta,,0.8481,4/15/2018
0,TCS,4:53,Rimi2378,,0.8481,4/15/2018
0,TCS,4:53,JhilmilA,,0.8481,4/15/2018
0,TCS,4:53,RaiArunrai,,0.8481,4/15/2018
0,TCS,4:53,kriyanshrawat,,0.8481,4/15/2018
0,TCS,4:53,KrityGosain,,0.8481,4/15/2018
0,TCS,4:53,busharasingh,,0.8481,4/15/2018
0,TCS,4:54,ikidroz,,0.8481,4/15/2018
0,TCS,5:05,khanadid,,0.1779,4/15/2018
0,TCS,5:07,khanadid,,0,4/15/2018
0,TCS,5:13,HexaTata,,0.5095,4/15/2018
0,TCS,5:31,sharebossindia,,0,4/15/2018
