,company,date,time,username,,sentiment
0,HERO,4/15/2018,1:55,FootballKeeda,,0.6908
0,HERO,4/15/2018,1:52,Jer083,,0.594
0,HERO,4/15/2018,1:52,sathish_AK,,0.594
0,HERO,4/15/2018,1:51,Chygrysky,,0.594
0,HERO,4/15/2018,1:50,falconhamada_90,,0.594
0,HERO,4/15/2018,1:50,FIFAcom,,0.594
0,HERO,4/15/2018,1:49,awesummly,,0.6908
0,HERO,4/15/2018,1:43,suhasfranky1,,0.6908
0,HERO,4/15/2018,1:38,vroonmenon,,0.3382
0,HERO,4/15/2018,1:35,ankusharora,,0.2732
0,HERO,4/15/2018,1:35,Frankli07274121,,0.2732
0,HERO,4/15/2018,1:35,WrestleReaders,,0.6908
0,HERO,4/15/2018,1:30,ENIN_NW_Sports,,0.6908
0,HERO,4/15/2018,1:28,abhaybhow,,0.6908
0,HERO,4/15/2018,1:23,EquityxD,,0.6908
0,HERO,4/15/2018,1:19,hiindia,,0.6908
0,HERO,4/15/2018,1:16,Arunfoot,,0.3382
0,HERO,4/15/2018,1:15,DuduradioENT,,0.6908
0,HERO,4/15/2018,1:14,SK_Football,,0.6908
0,HERO,4/15/2018,1:10,Oneindia,,0.6908
0,HERO,4/15/2018,1:08,KoreaWorldChamp,,0.6908
0,HERO,4/15/2018,1:08,JapanSocFan,,0.6908
0,HERO,4/15/2018,1:08,portuGOAAL,,0.6908
0,HERO,4/15/2018,1:08,England2222,,0.6908
0,HERO,4/15/2018,1:08,SchweizAfrika,,0.6908
0,HERO,4/15/2018,1:07,fni,,0.6908
0,HERO,4/15/2018,1:04,thesportscampus,,0.5574
0,HERO,4/15/2018,1:04,Chelsea_Ngente,,0.6908
0,HERO,4/15/2018,1:01,RajeshIndolia,,0.6908
0,HERO,4/15/2018,12:58,Cleansheet,,0.6908
0,HERO,4/15/2018,12:52,TenNewsDotIn,,0.6908
0,HERO,4/15/2018,12:52,ten_news_dot_in,,0.6908
0,HERO,4/15/2018,12:46,indiacom,,0.6908
0,HERO,4/15/2018,12:45,ritabrata20,,0.2732
0,HERO,4/15/2018,12:43,nervein,,0.6908
0,HERO,4/15/2018,12:39,PoliticsNext,,0.6908
0,HERO,4/15/2018,12:36,pratapvivek9211,,0.6908
0,HERO,4/15/2018,12:34,fni,,0.6908
0,HERO,4/15/2018,12:18,THE_RanjitBajaj,,0.6908
0,HERO,4/15/2018,12:09,iamSSoff,,0.2732
0,HERO,4/15/2018,12:08,fifa2k14brazil,,0.6908
0,HERO,4/15/2018,12:05,IndianFootball,,0.2732
0,HERO,4/15/2018,12:05,DawnFryer,,0.1406
0,HERO,4/15/2018,12:05,srlambda,,0
0,HERO,4/15/2018,12:03,pratapvivek9211,,0.6908
0,HERO,4/15/2018,12:00,sportstarweb,,0.2732
0,HERO,4/15/2018,11:45,Coach_FP,,0.2732
0,HERO,4/15/2018,11:42,ankitberry,,0.6908
0,HERO,4/15/2018,11:33,ScanstockIn,,0.4019
0,HERO,4/15/2018,11:25,W0RLDSOCCERNEWS,,0.8519
0,HERO,4/15/2018,11:14,faia,,0.6908
